"replicate","p_value","mean_diff","CI_lower","CI_upper","median_diff","CI_median_lower","CI_median_upper","log_ratio","CI_log_lower","CI_log_upper"
15,0.409,-0.214227887911597,-0.551519546962282,0.17727520506533,-0.223475491516839,-0.551519546962282,0.17727520506533,-2.03240426637583,-7.26699669035785,0.906754739693129
45,0.9275,0.315695508644579,-0.324409031754286,1.5433023399847,0.216873174051672,-0.324409031754286,1.5433023399847,0.79872116043005,-1.40321616869194,3.3909633041598
44,0.7145,-0.06998138699451,-0.499547391989796,0.640604036885208,-0.112627698712523,-0.499547391989796,0.640604036885208,-1.03095520805398,-6.21052234505036,2.03184246630274
46,0.0315,0.848212778901727,0.0909337520637042,2.73579151786237,0.65811091292026,0.0909337520637042,2.73579151786237,2.28007947037091,0.331991024555706,6.24190998070155
4,0.965,0.424410846076728,-0.38066635495494,2.27532602731051,0.237241674494548,-0.38066635495494,2.27532602731051,0.599241460722702,-1.54232318632268,2.58821105102293
5,0.9175,0.311503093172065,-0.305947485625485,1.54354689756713,0.216089614095687,-0.305947485625485,1.54354689756713,0.929750041359426,-1.47877643143238,4.38282459498705
65,0.473,0.151259909240479,-0.395691546415138,1.17456612936836,0.0753856707694232,-0.395691546415138,1.17456612936836,0.443481350684316,-1.90716903975655,3.73749799738579
63,0.387,0.116007030056439,-0.333937327888211,0.970271728732773,0.0558261435592217,-0.333937327888211,0.970271728732773,0.306195781623264,-1.62991509619025,2.72016719947391
204,0.194,0.116324881905445,-0.427198746094063,1.1238235804081,0.032684188922814,-0.427198746094063,1.1238235804081,0.12218289593771,-1.75356838321486,2.03427476214238
64,0.598,0.226899445483427,-0.428242049939477,1.59461333652443,0.117264650694428,-0.428242049939477,1.59461333652443,0.304759776588279,-1.6826829644121,2.17362301421604
62,0.6315,0.421781812492057,-0.192991301747584,1.89923661141024,0.282292512646902,-0.192991301747584,1.89923661141024,0.682560599413033,-0.580481400148667,2.12543139103666
205,0.028,0.926335198048536,0.108922857818854,2.95815318424981,0.720797304139074,0.108922857818854,2.95815318424981,2.74384940493126,0.42694271418351,7.73383292950765
109,0.361,-0.017839062509987,-0.642681786568213,0.967335446884688,-0.0781068279109606,-0.642681786568213,0.967335446884688,-0.475276460790746,-4.24788345694259,1.67978639783985
158,0.4795,-0.037360345999617,-0.393791755511038,0.443035471599283,-0.0552556264205721,-0.393791755511038,0.443035471599283,-0.656071127603891,-6.20838411235094,4.37870519572262
108,0.065,1.10596618970454,0.0615227002472838,3.6344866997772,0.864782346284828,0.0615227002472838,3.6344866997772,1.61988085938873,0.142828321134287,3.5468458206324
110,0.309,0.666885349537995,-0.149429337507117,2.48368451860057,0.497548500065882,-0.149429337507117,2.48368451860057,1.33107941521802,-0.468710106443351,3.6928565528813
156,0.336,0.0247975465225905,-0.600320068715945,1.30770494091143,-0.076662724932331,-0.600320068715945,1.30770494091143,-0.209861791192874,-1.98966601064808,1.46068635700659
157,0.581,0.566087744192823,-0.259240769827637,2.52833572010222,0.401223366549638,-0.259240769827637,2.52833572010222,0.888059253728328,-0.742091537161089,2.63063022503908
129,0.1525,0.0208280515002228,-0.443540806864233,0.805819119389872,-0.0232683231454632,-0.443540806864233,0.805819119389872,-0.277122845197853,-4.76044047528136,3.35272585337698
127,0.115,0.0311919635783416,-0.432049057339424,0.808830839307382,-0.0179844620328231,-0.432049057339424,0.808830839307382,-0.202479755689855,-4.04324815231646,2.79104525760298
3,0.489,0.23904058076314,-0.509291645032825,1.80616682339044,0.11706888996352,-0.509291645032825,1.80616682339044,0.233406729769953,-1.4592990227919,1.90310271032297
2,0.909,0.322149762752067,-0.341003487835307,1.80497589120001,0.195601077132071,-0.341003487835307,1.80497589120001,0.474548880582987,-1.09609259549963,2.14426664196255
1,0.7615,0.170854662575008,-0.259994244348256,1.04978826119919,0.100372647925345,-0.259994244348256,1.04978826119919,0.647847010263173,-1.21787071584868,3.73194102398472
300,0.86,0.278043985101845,-0.300189676623071,1.53970003542026,0.158952796196977,-0.300189676623071,1.53970003542026,0.471756810181818,-0.970045503528275,2.13192831299125
128,0.511,-0.21212697222923,-0.570809260151161,0.268155051568203,-0.233161429120158,-0.570809260151161,0.268155051568203,-1.92556126776943,-7.09858167556833,1.00258593400231
131,0.4585,0.141943477941021,-0.348001786935432,1.0819197866406,0.069470048574684,-0.348001786935432,1.0819197866406,0.297933352291617,-1.60178935338407,2.38827739802684
199,0.656,0.177605176432504,-0.333751003326285,1.16444201966783,0.104774300044453,-0.333751003326285,1.16444201966783,0.55661457052007,-1.87421666460558,3.72418476827795
299,0.8655,0.204769565162194,-0.293580652449152,1.13684369792161,0.133484355521842,-0.293580652449152,1.13684369792161,0.753003311666612,-1.48236126474039,4.09663479833269
135,0.222,0.543943841618353,-0.0966193738905965,1.93916115341004,0.410775018854174,-0.0966193738905965,1.93916115341004,2.2369676365234,-0.443571091051114,7.4045069798456
191,0.4425,-0.0242263609707115,-0.424725598281672,0.596584394671812,-0.0548176974621735,-0.424725598281672,0.596584394671812,-0.254793174186537,-2.65035750024672,2.37442075254233
189,0.9485,-0.153859176891018,-0.719823198906692,0.745909987179588,-0.20762771212852,-0.719823198906692,0.745909987179588,-1.08870154929682,-5.69149663023962,1.37900443112692
190,0.4315,0.128871238228129,-0.411700427930386,1.0965351836847,0.0702322229288006,-0.411700427930386,1.0965351836847,0.372116104201086,-3.61520939822948,4.3609203397696
132,0.454,0.614864007417573,-0.209994004420735,2.55117970940058,0.435020960107901,-0.209994004420735,2.55117970940058,1.00461414482441,-0.619498966832234,2.84605433757063
188,0.3085,-0.215230314596323,-0.551784057178951,0.0992915872052261,-0.21143368160644,-0.551784057178951,0.0992915872052261,-2.41892817091193,-8.01741134210423,0.813767579416174
130,0.702,0.408506888072951,-0.287870369163278,1.83265741153257,0.290288506078128,-0.287870369163278,1.83265741153257,1.15636016682609,-1.32927330909087,4.91134710236523
134,0.1375,0.729043193218941,-0.0284258760605739,2.50663721181779,0.564536159950374,-0.0284258760605739,2.50663721181779,1.89131665117166,-0.0965865652270649,5.60041485414414
177,0.1095,0.0539717155406665,-0.459385176743928,1.02244464311359,-0.0180555908147564,-0.459385176743928,1.02244464311359,-0.0277368535538884,-1.60488586621309,1.6400936043511
321,0.642,-0.053077451147207,-0.548882178852489,0.822808750134072,-0.109507129478595,-0.548882178852489,0.822808750134072,-0.516366042005265,-3.25530211315288,1.57363265153904
230,0.999,0.240274274163742,-0.325820351257891,1.25294037486051,0.168389647664061,-0.325820351257891,1.25294037486051,1.03652939092505,-2.25137025463159,5.64194547202532
180,0.11,0.0791327829977285,-0.479864951077412,1.04535685227223,0.0184067185844186,-0.479864951077412,1.04535685227223,0.0489418450328726,-2.80676845757593,2.70217307724195
179,0.168,0.0461074850730078,-0.51885417763686,1.09210003528177,-0.0337173075601382,-0.51885417763686,1.09210003528177,-0.155243262581505,-2.27547807988243,1.67544590009045
323,0.365,0.000226353181503672,-0.674033800051962,1.25554362921308,-0.0817917669044592,-0.674033800051962,1.25554362921308,-0.502620789206686,-4.60136986336475,1.61301453312308
181,0.079,-0.364199406204305,-0.71379425570888,-0.0338983445071444,-0.360712986644702,-0.71379425570888,-0.0338983445071444,-3.41031846079657,-9.16217808430139,-0.12055028803682
200,0.0655,0.866423419061548,0.0444507478071294,2.81967071553907,0.671814551802586,0.0444507478071294,2.81967071553907,2.50181657801052,0.172616148611332,7.15118456776387
229,0.123,0.0664401140029973,-0.444631951603392,1.10672946098163,-0.0198793902132094,-0.444631951603392,1.10672946098163,-0.0493643471154237,-1.59680252652668,1.57368654345871
309,0.6515,-0.0574336955092801,-0.445513863765615,0.531180406770282,-0.0894290065467617,-0.445513863765615,0.531180406770282,-0.884567394713825,-5.95219343063559,2.48147883868922
133,0.6095,0.503526334932331,-0.254300821506368,2.26634711302983,0.337554713172699,-0.254300821506368,2.26634711302983,0.763022131946923,-0.712017777951128,2.35409988973245
136,0.4895,0.576024304864168,-0.20819231594288,2.35246133713486,0.405618896210456,-0.20819231594288,2.35246133713486,1.02357521025037,-0.663115443050611,3.00217108440774
324,0.99,-0.116496085982007,-0.541985047634387,0.531084174930182,-0.14526465132914,-0.541985047634387,0.531084174930182,-0.631798703562725,-2.62790875809819,1.19663563268374
202,0.251,0.407300005128147,-0.0816394421198169,1.4762106648587,0.307606579873324,-0.0816394421198169,1.4762106648587,1.9622698759351,-0.391944643244142,6.70028080237679
201,0.8585,-0.0883339538111052,-0.513110700121145,0.560458840285462,-0.122112481142581,-0.513110700121145,0.560458840285462,-0.52883002944863,-2.51641716270245,1.49126776724454
203,0.732,0.143366588019891,-0.269754931858794,0.897105151603798,0.0908047826767773,-0.269754931858794,0.897105151603798,0.650305940259483,-1.34782413065992,4.11392227022187
162,0.631,-0.159286078697256,-0.518247057326563,0.359789840338903,-0.18641641731508,-0.518247057326563,0.359789840338903,-2.0228693404632,-7.8964952141357,1.71282760372385
159,0.8235,0.326762105062517,-0.224696434165608,1.54317070911954,0.21511421839873,-0.224696434165608,1.54317070911954,0.627879280739234,-0.762311114696602,2.23669403167092
318,0.6155,-0.206189615305679,-0.62135112862963,0.385838836046295,-0.231450640718389,-0.62135112862963,0.385838836046295,-1.48745382166563,-5.97379243041395,0.995253968795382
317,0.2175,0.48013406766802,-0.068680345675574,1.76986763686745,0.359092654952462,-0.068680345675574,1.76986763686745,1.54499570492302,-0.283338659529971,4.76738555449467
320,0.67,0.241959117823349,-0.466359475184405,1.53693868617916,0.146918327490749,-0.466359475184405,1.53693868617916,0.466381456861596,-2.20862230624045,3.16541604505398
319,0.374,0.522076382094538,-0.146107114339582,2.00737121127864,0.390696983356151,-0.146107114339582,2.00737121127864,1.21831820715363,-0.525741415572163,3.523191534123
137,0.323,0.00295380701603103,-0.50710308367686,0.884951168125056,-0.0500670522683621,-0.50710308367686,0.884951168125056,-0.250708056947947,-2.85664345784172,2.01957625773128
325,0.3405,0.0178266728232028,-0.747481880912068,1.50333197771181,-0.0879620600212025,-0.747481880912068,1.50333197771181,-0.348153797878292,-3.20759807566078,1.52704033208975
328,0.1435,0.102270716992651,-0.438888576487324,1.10333688594858,0.0274587455823276,-0.438888576487324,1.10333688594858,0.112264579887198,-2.11480573358494,2.31116190616347
329,0.2625,-0.290557326973982,-0.675183598762744,0.12894874895163,-0.296487072609557,-0.675183598762744,0.12894874895163,-1.94509899259768,-6.38942759918198,0.45737037026064
326,0.22,0.574794396051214,-0.0763121895735288,2.08775234828337,0.426944794453028,-0.0763121895735288,2.08775234828337,1.8634598840872,-0.309337837749118,6.14446164236377
18,0.622,0.308033358496445,-0.467313691323345,2.01066270304002,0.156916517020495,-0.467313691323345,2.01066270304002,0.299742729778341,-1.30716725271033,1.85175671254813
322,0.2635,0.678566047819978,-0.114397829548534,2.57027708127728,0.501811697396199,-0.114397829548534,2.57027708127728,1.46275199666063,-0.368952651545261,4.16220455852188
176,0.404,0.454932346208997,-0.145714298182259,1.82833108150717,0.333779675098,-0.145714298182259,1.82833108150717,1.2135662991991,-0.524065844833425,3.93125008475185
327,0.6045,0.363150850067017,-0.214443539160531,1.60213480472353,0.256395809876057,-0.214443539160531,1.60213480472353,1.25262817019909,-0.986611524282365,4.89585260929209
178,0.0465,0.738768419555511,0.0466504964029751,2.48596654669189,0.556274793142655,0.0466504964029751,2.48596654669189,1.42322471257725,0.146532225878935,3.05697004291608
138,0.2485,-0.3567010525972,-0.780423674979235,0.169920097821143,-0.370445100016842,-0.780423674979235,0.169920097821143,-1.94035465588983,-6.29479918114077,0.396767687393001
19,0.852,0.276945180403777,-0.261273401730153,1.32383152807686,0.185848302715673,-0.261273401730153,1.32383152807686,1.04519075135532,-1.2257471735397,5.09408715223856
174,0.576,0.342490133352864,-0.224972767030121,1.42395665763942,0.253232138494185,-0.224972767030121,1.42395665763942,1.58522388457263,-1.25331463331459,6.38065248539002
342,0.686,-0.216761404279652,-0.690446116913698,0.49948464353082,-0.255690935885501,-0.690446116913698,0.49948464353082,-1.42845262168932,-6.23309299786118,1.06406219194795
308,0.0409999999999999,0.0383797930563124,-0.405278164051092,0.797670143554039,-0.00576555996999016,-0.405278164051092,0.797670143554039,0.0366712438327039,-1.81858656858988,2.32215406398755
302,0.9715,0.270480449750956,-0.306971597371306,1.41125260222257,0.174339943632783,-0.306971597371306,1.41125260222257,0.675357005834237,-1.22482741774443,3.04562233727354
173,0.7545,-0.189753112509536,-0.671780146801302,0.587501115114594,-0.231303832878174,-0.671780146801302,0.587501115114594,-0.75988721732172,-2.57585710335056,0.92434806651524
163,0.137,0.5092456399009,-0.0226902748039152,1.77492038086482,0.382296973394165,-0.0226902748039152,1.77492038086482,2.28651663850433,-0.117934755354172,7.41109545877391
164,0.403,-0.00144047262315418,-0.605832477152528,1.12998486855095,-0.085611692889529,-0.605832477152528,1.12998486855095,-0.348556572119459,-2.70888296310005,1.59422694352387
301,0.606,0.527130433460366,-0.259644380749867,2.39789743978968,0.357181133117729,-0.259644380749867,2.39789743978968,0.85645373135904,-0.769889952805814,2.69877639480622
121,0.391,0.106147985113071,-0.326204645243682,0.903150409738781,0.0498725492757097,-0.326204645243682,0.903150409738781,0.332867104659319,-1.43948445802703,2.78228957190183
175,0.2815,0.562343646133973,-0.128148240603957,2.02958962773151,0.425269002137865,-0.128148240603957,2.02958962773151,1.82761832302878,-0.50389307301414,6.143112692159
247,0.9255,0.321812658591917,-0.290211627582987,1.58798072214229,0.209008143232484,-0.290211627582987,1.58798072214229,0.719881106574097,-1.13718868063997,2.94954059790315
