"ReplicateNumber","S_Value"
18,0.586651931209183
19,0.464772332487612
24,0.411720902104415
25,0.723267347376815
29,0.433132176227156
1,0.60034122858856
26,0.38423234488971
20,0.384992597671752
21,0.402622341444105
28,0.761480116414928
27,0.216975256608875
23,0.72040151634084
30,0.492957670823444
22,0.781630995391004
14,0.381211215207886
16,0.707248639770198
9,0.421832111814454
2,0.484366216446864
7,0.428660788671602
15,0.235101116795866
17,0.759684174693733
4,0.423639493418217
5,0.521285089494499
10,0.427422543245544
11,0.356174486732777
8,0.316081317827089
12,0.550953081349556
13,0.695897806111534
3,0.534808189910436
6,0.358470425822908
108,0.715709294568667
110,0.585166424156343
106,0.32103928824678
107,0.302170583402766
111,0.54987728675749
105,0.489889915733565
104,0.567828461940879
109,0.553061183522716
52,0.447543398766601
51,0.421525897432498
53,0.592649173619319
54,0.56748679043484
152,0.57709203871897
102,0.483246693005186
101,0.34142113955465
103,0.375061230140198
201,0.277590500151311
151,0.501676878176885
234,0.75829346745637
233,0.296173988156798
235,0.501586670613495
237,0.600162381315624
240,0.201993698158123
239,0.422586477410819
236,0.427721553767064
238,0.768845143153454
31,0.405025593539182
44,0.476703930473016
46,0.715596901048322
39,0.775176332814131
45,0.577798736134268
32,0.498151154338199
49,0.585116879249561
43,0.581156417457726
40,0.675173655691137
33,0.794971700107593
48,0.267646559047581
41,0.112919418547412
36,0.805945990229741
47,0.547742250326067
37,0.496898984198343
34,0.393357637719862
35,0.385209517793962
62,0.87188897601904
42,0.352224084101098
50,0.405988540261161
38,0.796277270951299
59,0.619310598470703
98,0.173870986279826
55,0.146887205456589
57,0.223239650889757
61,0.65168187156478
60,0.584779632855652
99,0.713867717902309
56,0.554279735266279
95,0.30616308671993
79,0.527929452156084
88,0.542290820282043
94,0.590921933796166
83,0.340469244987568
93,0.662847962708986
80,0.566470500569914
81,0.739484894344878
92,0.19938378822873
91,0.601657071249551
85,0.5518632523818
100,0.793769084483046
97,0.305135588164914
87,0.704998374176005
84,0.51347803163991
96,0.273324943541099
58,0.758459221348915
90,0.683170135265267
89,0.652113072988682
82,0.591546694827708
132,0.726044482893162
86,0.637150319728037
133,0.854273651467239
122,0.5234752324922
146,0.416512162456586
145,0.267876735732606
118,0.922682835621065
137,0.306810252352834
123,0.454173552959393
144,0.390297216914309
121,0.404220204690295
143,0.451112083705559
117,0.239955707236258
150,0.39574821773603
63,0.534442881679187
78,0.81022551639042
142,0.638242844117312
139,0.70450928610807
64,0.717313623405245
140,0.588564101450749
138,0.235652817879709
124,0.498231408230508
128,0.291386949465156
147,0.524364813355536
136,0.525580850892592
66,0.273317832518184
135,0.366736837054003
67,0.410499973530481
69,0.570193430660549
141,0.769359788613407
125,0.785811590267999
127,0.664005649881341
149,0.430527101999596
116,0.858849468941931
68,0.609150179683559
70,0.754908888185202
148,0.68004925246448
126,0.718075959829515
130,0.637942402505768
113,0.420931402802864
134,0.531324624660583
129,0.222966065684457
77,0.599316966435127
131,0.60016179362139
177,0.702895807702343
112,0.672109960003162
73,0.854647694080132
72,0.270329206727188
198,0.249616622007886
168,0.789059023660068
114,0.490009994828734
71,0.486160211582102
75,0.309035242466362
76,0.422034123514252
74,0.381644134577336
171,0.620945592807882
172,0.408481962980585
185,0.711201018416901
65,0.484695550129493
197,0.468854995457655
186,0.519992604158574
174,0.570127504615977
183,0.209797217446648
181,0.186868718962515
170,0.360370008447609
193,0.416502263007842
173,0.453338717036979
176,0.638582380805768
182,0.524458528246628
115,0.348202297219066
192,0.34731925548496
188,0.39091605134022
184,0.33789991709932
178,0.948303745619404
164,0.418228073055537
163,0.655182683575339
169,0.698517576998324
189,0.68719404485306
180,0.434581419973131
167,0.424922312422123
191,0.212398610987502
179,0.511387563002048
190,0.37598579934309
194,0.547514977945167
155,0.255600498269227
154,0.635698463330875
175,0.575680672840529
195,0.334263845691701
159,0.548042536962444
157,0.825591562020963
153,0.400696333279457
162,0.263973304098813
160,0.398025933114064
196,0.676456895588064
158,0.453532173069869
156,0.670062294665126
166,0.500477686425377
187,0.348103958778436
165,0.188591160108551
161,0.355574367361287
230,0.690589378907398
231,0.632202944974346
250,0.369055734149265
228,0.143746146238364
219,0.465674012245926
119,0.734707738729761
213,0.536090313178026
218,0.489283441510702
217,0.468291993895346
120,0.581460516869499
226,0.416191534569919
215,0.313135565145037
216,0.747505298250889
212,0.181476514547203
242,0.652480276776048
227,0.170506950764151
221,0.216039311007386
214,0.422563918526504
220,0.291946678119913
222,0.830290945162656
223,0.415368707852194
229,0.542529858216426
225,0.50714255140266
244,0.295885992900031
203,0.699378176190544
204,0.518732612123728
211,0.729470759411396
245,0.496885954751464
247,0.445978619353586
248,0.654201291764365
208,0.778586879324827
246,0.625862992242393
243,0.454142434621884
206,0.190716636896404
207,0.297383948643914
205,0.476195464673075
210,0.630176844141241
202,0.715732243093482
209,0.629617604905692
224,0.532574611297278
277,0.160599447874107
293,0.542252975846657
241,0.116787058015115
275,0.631781438547537
286,0.50581532200999
290,0.343527187067367
292,0.549138454864076
272,0.872339515048426
300,0.605669441817146
294,0.420454529024557
270,0.634479163145271
284,0.354103905336363
273,0.479967195926489
269,0.242101169962109
276,0.498476116427239
268,0.617888405776555
281,0.696681510232918
285,0.324301272996722
263,0.332756651502098
297,0.37632643169635
278,0.514815583712238
298,0.381993831956997
274,0.712959017374064
299,0.302700187103876
271,0.77964751037093
282,0.666972334530051
280,0.236599195501558
289,0.834491780841978
266,0.213332099557897
262,0.288874182369251
295,0.572078634132323
296,0.767433343141728
264,0.452942520851516
291,0.61682897947115
279,0.628550671221139
288,0.51031155852655
307,0.457445449535803
267,0.561795144181297
265,0.525058851402198
