"ReplicateNumber","S_Value"
1,0.71793342271134
3,0.883124261950334
26,0.421067530725605
27,0.697640076447751
25,0.804697098678034
29,0.280747300601981
2,0.718427247806459
79,0.599299814121785
41,0.753259699701109
84,0.573019206586086
42,0.641983427367405
45,0.555317200673663
35,0.717110879180365
24,0.518349730261021
43,0.724000923573493
78,0.512725650785901
44,0.392450128335012
28,0.51031530793939
30,0.534812955479641
90,0.61655682417195
40,0.827276111068727
31,0.607299783614938
18,0.69132679741916
19,0.342322707555791
39,0.415752542953679
32,0.444035124372844
38,0.858771005383733
36,0.348566816704682
20,0.702399524984614
17,0.459396516648732
15,0.853945778505746
33,0.504577588727349
37,0.492586051775752
22,0.430030669406377
89,0.427212002253162
87,0.829787488704856
21,0.490768747490932
76,0.370289621655138
82,0.432347034907706
48,0.838605458751294
80,0.340735508327563
86,0.593124999254039
85,0.209183158954321
23,0.415848553864259
81,0.564145786130905
68,0.394327004348793
77,0.477401492129418
63,0.383332890624959
88,0.37890676486152
64,0.539520539749794
67,0.514795022930125
62,0.611539784556547
16,0.756156503296083
49,0.73282904765194
83,0.519455844087956
74,0.351511282464883
69,0.659832936412695
71,0.704504315805465
75,0.206986663264936
50,0.480805299510776
46,0.433072852827424
72,0.148785219842847
7,0.298948737897796
52,0.827778436316189
34,0.344613647816087
66,0.498851791865826
47,0.697727611698468
54,0.525852666298086
12,0.804427012460106
73,0.727584053475795
70,0.492447617189162
6,0.776559131610691
51,0.536263687035483
56,0.232462656272387
4,0.802408404354013
14,0.546787291236829
13,0.625897216131772
8,0.593239769708717
10,0.27731213158011
55,0.528946800342063
60,0.501435992720273
58,0.35240434834063
59,0.599661537450475
53,0.496851925232866
65,0.385068539293029
61,0.40414268511756
11,0.687567318039794
57,0.716011720475831
151,0.598648514232986
9,0.573240356820551
5,0.418478305754109
310,0.661710435748656
316,0.536151300285126
317,0.581039830261897
311,0.471905995608163
312,0.395589492181569
313,0.452907212736289
314,0.686160548580189
315,0.378420588986378
91,0.429862388178289
96,0.356882011294468
93,0.593210931549515
94,0.411762986389421
92,0.443307582002087
99,0.271485674274381
97,0.25924046348214
100,0.632708825273989
98,0.460713933281306
95,0.770175651787081
136,0.410443657834192
105,0.320655902969719
106,0.359224052114905
104,0.562581534293111
119,0.499624196541886
148,0.33520966871024
102,0.634795239056868
112,0.208265431578407
137,0.827834791376722
147,0.708960114107434
146,0.441001784328617
141,0.356438018101883
101,0.704430675552087
126,0.628906473233347
107,0.604545117623667
133,0.469327262185496
128,0.208025874703139
125,0.780079134390791
131,0.441422224181474
124,0.691188845126596
127,0.632807516304129
123,0.566647030490573
118,0.623076595593327
142,0.610932324252446
116,0.682211359685379
110,0.455005920571768
121,0.389144747857109
135,0.752398173867763
143,0.535546834747337
134,0.662319302442052
115,0.327032761811874
145,0.50518945932197
140,0.461293011358079
144,0.269780930564715
120,0.803350258299273
108,0.589060146711122
103,0.423926301613008
138,0.380209251153549
132,0.496946237134449
129,0.732429190815366
109,0.686045276989037
130,0.404547595709721
139,0.424919462006677
117,0.751692841141405
122,0.305046079116389
114,0.518189415479447
150,0.524435257435513
178,0.361299857106488
181,0.643471470122288
189,0.36137974079335
167,0.600983326142387
113,0.347063267931226
191,0.52414757384977
180,0.470589010727348
111,0.821754711025417
171,0.522994275319614
169,0.184490001347201
196,0.406647036132326
198,0.604380190361378
170,0.750152373865693
182,0.563348360813287
197,0.399785690039193
184,0.461006282776349
149,0.273840881358938
250,0.596905230048342
192,0.525759507465896
213,0.231574145762068
190,0.590968774186566
175,0.487012263790186
177,0.687356916722964
172,0.294121005576003
193,0.256092301809151
194,0.728464829948525
186,0.384072357986621
