"ReplicateNumber","S_Value"
2,0.165937958492885
1,0.847715011465962
3,0.816099974550305
232,0.454117621549426
234,0.688367301797474
238,0.311689022472459
239,0.279087481946475
240,0.460996861834418
235,0.726417225026447
237,0.664487300610467
245,0.648735778570896
236,0.785991784781301
248,0.790890337010798
247,0.761409980028726
253,0.39913042653388
252,0.66668093886355
273,0.533082047023975
254,0.698718518733388
255,0.181461703710003
262,0.754087187963279
274,0.456886498943079
257,0.513392661960558
256,0.46813419073778
276,0.215885130058328
261,0.517392897421582
260,0.365311986113045
275,0.606113133302702
266,0.684157609381925
269,0.627266655304605
258,0.644656796159372
263,0.770558237921586
270,0.598572400836223
233,0.530904166095229
272,0.932992970549436
271,0.196732882350875
268,0.790825967296849
267,0.545726206301343
280,0.398168200911888
281,0.398460844480307
279,0.674710537791879
259,0.384275428793438
277,0.168022344531593
265,0.656415651882757
278,0.751385588601574
264,0.790761990118312
300,0.507975039079057
302,0.412159527177551
301,0.498749007430295
307,0.521037301170563
313,0.937277777902494
314,0.764190486930625
308,0.68139834194811
29,0.874235560397555
25,0.811492555689401
28,0.493274330104405
23,0.824179217813471
35,0.755057904267454
44,0.602362865867166
42,0.332266660239138
4,0.0994234108945063
34,0.341309680166123
32,0.72151173555018
30,0.424622436241657
26,0.744745426527035
31,0.546535530838509
9,0.597726420472952
8,0.639801912687728
7,0.644547285227022
52,0.369940203670384
51,0.160530452626566
46,0.334255228739223
55,0.645030432395537
66,0.220198382178304
6,0.798522999195973
72,0.359467559111191
48,0.19955349187656
67,0.465669656315285
53,0.387414241217335
47,0.436977939411379
33,0.619407639136438
63,0.390859748628331
11,0.371133230974029
140,0.591171504822376
75,0.256952050367248
62,0.718236461116304
68,0.466417868262359
91,0.704656952555171
22,0.338165522939404
100,0.297749134416417
24,0.518944426367616
73,0.697796553946106
64,0.758255133621831
70,0.646098834608459
21,0.425693457055186
89,0.523883737156532
20,0.304937810748914
69,0.34138675943458
99,0.483630648359723
38,0.643331944310881
58,0.728192689675397
90,0.561606276701911
98,0.499965559339617
114,0.70505849477958
54,0.0488446899155768
50,0.420713985961247
119,0.510574156187189
138,0.540390061893562
121,0.398239233469245
49,0.713277965284559
36,0.181525847309501
92,0.300493371509863
88,0.379862022920587
86,0.605736857140351
65,0.191808378233355
117,0.294512164455727
37,0.448221456910589
81,0.45958314681325
84,0.652742526898591
61,0.162118777092861
97,0.403294645964783
113,0.70899359915309
122,0.875148749330977
107,0.743157093545049
123,0.538015600176277
76,0.547831586431499
41,0.631092455867341
94,0.626571691745202
78,0.510396193648676
71,0.402594289256899
87,0.132273402767826
43,0.633816296071771
116,0.545004038402142
82,0.653142480669573
120,0.537617440305765
124,0.692286611320851
102,0.255179116687516
19,0.646796549946341
108,0.286597199302306
101,0.693949587839165
85,0.393355930971925
79,0.493421360954234
151,0.50654979198309
135,0.46501709054997
132,0.703168385893756
80,0.539143633129706
60,0.495292750590564
109,0.381259753374761
45,0.547468491058045
137,0.638740298563489
152,0.77897202139119
128,0.519790566436907
56,0.866890198456339
17,0.67237323117048
103,0.69622618250508
118,0.63966677789426
131,0.255909131287257
5,0.959040455556085
127,0.420053355292475
158,0.762634464087955
27,0.606666383154546
10,0.328241789373166
111,0.490078748911648
16,0.279015584850065
110,0.373806864113168
165,0.748802036286603
133,0.579477228902916
83,0.743788957576133
112,0.696971455200681
129,0.325265633981556
162,0.285379399778508
93,0.471300101431309
147,0.270487627042088
156,0.887273162663152
126,0.624872702291007
185,0.412108176731675
149,0.19963990440334
164,0.673182462167062
148,0.572983990291658
163,0.603078113110183
95,0.49480157382323
195,0.435633274553419
155,0.812298079736662
199,0.509911026955141
153,0.978710689904381
161,0.679452929335459
184,0.665658996627627
106,0.367259181101564
143,0.546512999155014
146,0.845280911538702
168,0.583585646007225
187,0.238420141905834
189,0.441006450442968
188,0.814463713784005
186,0.432654129426722
201,0.720923847746178
197,0.561687536365093
202,0.460193436465726
144,0.241914303265592
145,0.944747650244165
105,0.212105337071707
167,0.566587516485559
196,0.311110947756586
166,0.666095015774925
74,0.777714239078069
160,0.525981122873454
183,0.444778598798637
198,0.658660160323004
170,0.845754096536485
179,0.417520522507689
59,0.107826532763145
171,0.184486184002252
174,0.353696005264939
169,0.311713960052635
96,0.25905598655508
181,0.367740388082712
213,0.612971280761249
182,0.101389223363295
175,0.350991739975333
172,0.227441471367806
39,0.522326317817212
57,0.261643084662663
180,0.605234218440677
176,0.768963952997109
141,0.382083039021841
193,0.739139225872928
214,0.612903036566472
154,0.327892068841677
177,0.212220429702429
178,0.395905522463787
125,0.548885215566669
215,0.894836106236448
13,0.846198433148586
173,0.557353452492998
208,0.952584257883342
207,0.90583442681948
216,0.232230191181491
209,0.273209945343082
227,0.287371522251158
219,0.537753544907286
40,0.172072502199174
142,0.660185853311431
212,0.733690700354432
130,0.266284819216915
192,0.90637700553696
115,0.594831568047191
194,0.52130475294818
12,0.264996060448036
203,0.542906705797066
136,0.428627895166527
190,0.608971979289612
206,0.211902740960097
191,0.60107962091747
15,0.542907843692196
159,0.596552473291707
150,0.721170268648788
204,0.750201169459394
226,0.406846246162842
157,0.623313936160084
14,0.536709076880247
225,0.554618640778506
217,0.748904960836163
224,0.709798244089203
139,0.52893779400301
222,0.36360820991922
223,0.739490843864558
221,0.611432478293848
220,0.700065763828736
229,0.227710306547752
218,0.972750870510934
205,0.587341534340656
230,0.892030180212156
210,0.457489178018036
211,0.175923428116413
77,0.733224541946177
134,0.304752713933169
231,0.371447892291747
244,0.611841395675265
228,0.665360900581358
246,0.178603739903354
243,0.719385001186986
251,0.581952869077451
18,0.29767037406092
242,0.526160772170974
250,0.909895796184804
200,0.261481852731236
104,0.89664071177901
241,0.341953804229722
284,0.86435564359059
249,0.564341339035873
283,0.621078015201215
363,0.289979703743698
286,0.743723104740389
285,0.918785713000626
290,0.51798127308673
287,0.651032333509527
288,0.23484722892786
289,0.768734516951106
295,0.598012816430656
291,0.291215898449717
299,0.384790756743696
297,0.1099362890487
292,0.803022930941353
282,0.609516943079712
312,0.86990099340847
303,0.486627991511444
310,0.576658578376018
306,0.737677388030539
311,0.2590454666749
315,0.408358602190857
294,0.845765966090113
369,0.200933033695887
370,0.769907321796486
293,0.0706161067743116
309,0.215924493726182
318,0.644378367262241
317,0.775494720445772
371,0.567947983938388
319,0.467895597140918
298,0.519836398965335
323,0.654165938848202
325,0.435155429137911
321,0.755731143437615
324,0.325268830402238
326,0.685566841705793
327,0.695426426316822
328,0.546691714751311
329,0.596087519868689
304,0.312474935631299
305,0.387980722185472
332,0.19655051830649
335,0.380931122643194
338,0.368581904521549
339,0.271259122646574
296,0.693467284876784
336,0.305263427149196
316,0.788020350749409
