"replicate_number","estimated_QST","p_value_pos","p_value_neg","p_value"
46,0.563865602754974,0.638361638361638,0.362637362637363,0.669
2,0.464703391884502,0.91008991008991,0.0909090909090909,0.137
3,0.50516099607735,0.835164835164835,0.165834165834166,0.28
35,0.724941553454087,0.0749250749250749,0.926073926073926,0.211
34,0.670289907985222,0.236763236763237,0.764235764235764,0.538
36,0.463842244994089,0.913086913086913,0.0879120879120879,0.118
39,0.494600127344928,0.832167832167832,0.168831168831169,0.256
37,0.571470191866087,0.627372627372627,0.373626373626374,0.673
38,0.665602951080927,0.248751248751249,0.752247752247752,0.546
8,0.679113268338322,0.171828171828172,0.829170829170829,0.41
18,0.422207497263662,0.958041958041958,0.042957042957043,0.045
22,0.436239375697084,0.937062937062937,0.0639360639360639,0.079
21,0.44434718531479,0.934065934065934,0.0669330669330669,0.094
15,0.591845409629756,0.53946053946054,0.461538461538462,0.833
11,0.503561611674314,0.818181818181818,0.182817182817183,0.293
10,0.603003577878201,0.474525474525474,0.526473526473527,0.978
49,0.6767812255596,0.200799200799201,0.8001998001998,0.456
14,0.44863020443389,0.941058941058941,0.0599400599400599,0.084
50,0.524186882467429,0.79020979020979,0.210789210789211,0.369
48,0.412534737805816,0.956043956043956,0.044955044955045,0.059
47,0.515202203967478,0.786213786213786,0.214785214785215,0.347
5,0.63654596403216,0.351648351648352,0.649350649350649,0.74
12,0.203567685789458,1,0.000999000999000999,0
33,0.602361109854921,0.471528471528472,0.529470529470529,0.993
1,0.570629321864978,0.625374625374625,0.375624375624376,0.716
20,0.563868057358906,0.642357642357642,0.358641358641359,0.672
17,0.472795987252412,0.892107892107892,0.108891108891109,0.148
32,0.577089066194775,0.619380619380619,0.381618381618382,0.681
19,0.477197566750632,0.907092907092907,0.0939060939060939,0.134
9,0.652123588076156,0.338661338661339,0.662337662337662,0.666
23,0.573442515961989,0.625374625374625,0.375624375624376,0.703
4,0.482156400991704,0.86013986013986,0.140859140859141,0.219
13,0.732285651624229,0.0779220779220779,0.923076923076923,0.194
16,0.251806411485055,1,0.000999000999000999,0
7,0.627009374088442,0.360639360639361,0.64035964035964,0.798
6,0.554845683300072,0.683316683316683,0.317682317682318,0.582
27,0.481468594101587,0.884115884115884,0.116883116883117,0.178
24,0.703648955172537,0.144855144855145,0.856143856143856,0.347
28,0.682621817836522,0.180819180819181,0.82017982017982,0.425
26,0.587734779955195,0.56043956043956,0.440559440559441,0.805
25,0.72353207761997,0.0839160839160839,0.917082917082917,0.219
43,0.514298834276884,0.824175824175824,0.176823176823177,0.286
40,0.432846270658896,0.937062937062937,0.0639360639360639,0.082
42,0.460193479974813,0.916083916083916,0.0849150849150849,0.115
45,0.498241875829817,0.864135864135864,0.136863136863137,0.203
29,0.71139172525304,0.117882117882118,0.883116883116883,0.313
30,0.564340017272756,0.65034965034965,0.350649350649351,0.645
44,0.630814684700894,0.375624375624376,0.625374625374625,0.807
41,0.671502688938197,0.24975024975025,0.751248751248751,0.52
31,0.609258941613556,0.467532467532468,0.533466533466533,0.964
54,0.407088788951097,0.968031968031968,0.032967032967033,0.037
99,0.558024733911695,0.666333666333666,0.334665334665335,0.627
100,0.578113331331664,0.655344655344655,0.345654345654346,0.672
55,0.641346213348472,0.356643356643357,0.644355644355644,0.733
52,0.479818605806802,0.882117882117882,0.118881118881119,0.167
51,0.324420666194888,0.995004995004995,0.00599400599400599,0.005
62,0.469002966522858,0.907092907092907,0.0939060939060939,0.129
63,0.440535289955242,0.946053946053946,0.0549450549450549,0.063
64,0.576417312537745,0.622377622377622,0.378621378621379,0.713
86,0.408397799674217,0.964035964035964,0.036963036963037,0.039
57,0.455963832383704,0.9000999000999,0.100899100899101,0.126
60,0.538008257350761,0.754245754245754,0.246753246753247,0.441
88,0.368744332652245,0.989010989010989,0.011988011988012,0.011
87,0.400774603671063,0.969030969030969,0.031968031968032,0.036
65,0.59802219377295,0.546453546453546,0.454545454545455,0.938
61,0.224688390760661,1,0.000999000999000999,0
89,0.668631118670743,0.252747252747253,0.748251748251748,0.572
56,0.771391702913073,0.021978021978022,0.979020979020979,0.085
92,0.412710339152863,0.959040959040959,0.041958041958042,0.05
66,0.446393630657421,0.916083916083916,0.0849150849150849,0.112
58,0.596046848468707,0.537462537462537,0.463536463536464,0.861
59,0.275467449388645,1,0.000999000999000999,0
90,0.535778557064047,0.733266733266733,0.267732267732268,0.447
67,0.418800702974287,0.95004995004995,0.050949050949051,0.063
70,0.744184261643511,0.0609390609390609,0.94005994005994,0.175
91,0.677119199822416,0.177822177822178,0.823176823176823,0.462
73,0.716154484050638,0.107892107892108,0.893106893106893,0.278
53,0.615487722237121,0.458541458541459,0.542457542457542,0.958
84,0.445426669028924,0.926073926073926,0.0749250749250749,0.111
74,0.649008636078354,0.335664335664336,0.665334665334665,0.687
71,0.629016101207653,0.415584415584416,0.585414585414585,0.879
75,0.485103843489976,0.882117882117882,0.118881118881119,0.184
68,0.637158475758798,0.372627372627373,0.628371628371628,0.792
72,0.580973101199861,0.564435564435564,0.436563436563437,0.786
85,0.345026868591867,0.985014985014985,0.015984015984016,0.016
69,0.674926991316535,0.194805194805195,0.806193806193806,0.498
79,0.633197185306779,0.370629370629371,0.63036963036963,0.796
80,0.431247621423159,0.944055944055944,0.0569430569430569,0.063
78,0.710975022556614,0.11988011988012,0.881118881118881,0.304
81,0.766134042708574,0.035964035964036,0.965034965034965,0.122
76,0.577621546713367,0.605394605394605,0.395604395604396,0.75
82,0.786594443155788,0.014985014985015,0.986013986013986,0.067
77,0.624709623429902,0.3996003996004,0.601398601398601,0.87
95,0.540508780736502,0.694305694305694,0.306693306693307,0.521
94,0.667336731978365,0.232767232767233,0.768231768231768,0.524
96,0.512856439760121,0.798201798201798,0.202797202797203,0.349
98,0.691775067448051,0.191808191808192,0.809190809190809,0.423
93,0.447190511045661,0.913086913086913,0.0879120879120879,0.105
97,0.546965469583627,0.746253746253746,0.254745254745255,0.511
83,0.654213522708139,0.310689310689311,0.69030969030969,0.65
109,0.537961830806338,0.76023976023976,0.240759240759241,0.463
110,0.493783578564162,0.857142857142857,0.143856143856144,0.217
111,0.560628407230111,0.694305694305694,0.306693306693307,0.604
113,0.70568574341338,0.131868131868132,0.869130869130869,0.321
106,0.607390462949507,0.473526473526474,0.527472527472527,0.951
108,0.458149216573944,0.919080919080919,0.0819180819180819,0.109
105,0.345762249628338,0.991008991008991,0.00999000999000999,0.009
104,0.844184676180521,0.001998001998002,0.999000999000999,0.012
107,0.527519311106516,0.803196803196803,0.197802197802198,0.348
118,0.672295846655718,0.244755244755245,0.756243756243756,0.516
117,0.553701247739913,0.716283716283716,0.284715284715285,0.555
143,0.403439777997139,0.964035964035964,0.036963036963037,0.039
142,0.566782689106478,0.642357642357642,0.358641358641359,0.692
115,0.511323602344765,0.818181818181818,0.182817182817183,0.29
144,0.463975370093028,0.906093906093906,0.0949050949050949,0.114
141,0.503200494411804,0.798201798201798,0.202797202797203,0.304
147,0.393724654112412,0.964035964035964,0.036963036963037,0.041
146,0.685787768817026,0.191808191808192,0.809190809190809,0.436
119,0.547480825595108,0.717282717282717,0.283716283716284,0.498
112,0.698835088910559,0.161838161838162,0.839160839160839,0.386
116,0.643606696349478,0.348651348651349,0.652347652347652,0.752
145,0.772136126234978,0.0539460539460539,0.947052947052947,0.126
120,0.667698212147013,0.252747252747253,0.748251748251748,0.523
114,0.56353684618974,0.652347652347652,0.348651348651349,0.622
148,0.492815043409574,0.841158841158841,0.15984015984016,0.238
122,0.715837678024032,0.0949050949050949,0.906093906093906,0.268
149,0.381868481528816,0.983016983016983,0.017982017982018,0.018
128,0.640988463796175,0.347652347652348,0.653346653346653,0.76
