"replicate_number","p_value_QSTFST","p_value_LAVA","log_ratio_LAVA","S_value_Driftsel"
481,0.776,0.64425,0.244330385316349,0.450508196697733
432,0.411,0.51375,0.315452406467842,0.553480479441573
478,0.167,0.61275,-0.345133184252524,0.361632785708938
495,0.375,0.5055,0.357582005717038,0.556989018088528
477,0.68,0.32375,0.500492582419842,0.632231751699514
25,0.761,0.43575,0.3863306956273,0.591231975273912
321,0.162,0.21825,0.687410794296494,0.740869524950795
322,0.212,0.61075,0.332961600792489,0.537068253565266
318,0.943,0.052,1.13850762567349,0.685356433211054
12,0.139,0.96275,-0.0775694164566936,0.480709680534544
394,0.128,0.9315,-0.0442899705255927,0.447998849782963
390,0.289,0.7375,0.173883997819584,0.555897723251816
480,0.909,0.1935,0.674521504960713,0.616076857099864
431,0.431,0.281,0.555092842239971,0.623841170313695
485,0.101,0.941,-0.0133025738556496,0.473882995885216
474,0.1,0.9125,-0.131950828685681,0.518381042028723
16,0.155,0.20575,0.681579327172805,0.67590656534809
470,0.606,0.266,0.695660881087589,0.592814876371863
393,0,0.0715,0.862453741269036,0.747091366481866
479,0.029,0.7305,-0.270584405273766,0.444925415682315
319,0.006,0.38525,0.468111222230753,0.592708383163928
472,0.415,0.53775,0.359914737575391,0.533770492737256
385,0.593,0.22175,0.669775109811235,0.565745762530786
17,0.084,0.6855,0.204785845490687,0.495040111193774
459,0.404,0.675,0.218623014911634,0.531945553630697
458,0.482,0.999,0.0128358572139068,0.469383095037641
323,0.024,0.354,0.488585413092095,0.640368419376108
10,0,0.923,0.0491870450932537,0.473732760830338
398,0.464,0.07875,1.00377048622357,0.650571340523851
316,0.087,0.333,0.522693971484007,0.591296051196477
476,0.386,0.133,0.887309560409668,0.530224511708892
27,0,0.29375,0.466291510496077,0.70214349902018
430,0.013,0.691,-0.465115668183373,0.385136070116456
389,0.073,0.9035,-0.172154996198794,0.508814231867394
303,0.316,0.758,0.165371854329242,0.532674205925742
19,0.145,0.9575,-0.0724332954952225,0.468298569015459
455,0.542,0.185,0.71548390982185,0.594625399160869
471,0.321,0.62725,0.241772334772239,0.554250981692335
392,0.016,0.391,0.482039862650129,0.595039735314404
24,0.317,0.12675,0.837956277922667,0.649079949055844
26,0.117,0.65,0.243898085259667,0.520470175299191
20,0.307,0.23,0.623367366652347,0.64477466735106
306,0.653,0.3345,-0.542234542032808,0.319429615135623
15,0.583,0.19725,0.753236176855857,0.647057306388694
21,0.352,0.4725,0.503550129578903,0.455296733067769
400,0.223,0.3595,0.5108109254325,0.5644646897792
18,0.336,0.585,0.285206803713337,0.604122324138864
317,0.004,0.0035,1.29488453257475,0.880311455309709
460,0.413,0.10375,0.838935574431195,0.730051053797955
456,0.001,0.10375,0.82396444541334,0.690221626790827
467,0.904,0.403,0.452296958856829,0.565678284835125
312,0.32,0.5835,0.308127546448781,0.517286491994766
457,0.017,0.383,0.443315983257969,0.671636418569016
304,0.279,0.276,0.633160207088547,0.664125958999312
11,0.529,0.16725,0.764184241594359,0.632125184685086
468,0.37,0.05175,1.03657185153204,0.673820526939627
302,0.515,0.71425,0.217253563395808,0.635827743215011
314,0.578,0.159,0.697919409977344,0.72573992941191
305,0.934,0.0655,0.936974271598344,0.696383067685662
469,0.598,0.1135,0.800708798985067,0.65841005790762
301,0.833,0.95575,0.0194423234346817,0.522092003333475
313,0.313,0.1765,0.773332766235381,0.594207308839245
